Fecha;Producto;unidades;Impuesto Componente Base;Impuesto Componente Variable;Credito fiscal Componente Variable;Impuesto Específico Resultante
24-02-2011;Gasolina Automotriz;UTM/m3;6;0;;6,0000
24-02-2011;Petróleo Diesel;UTM/m3;1,5;0;;1,5000
24-02-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
24-02-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
03-03-2011;Gasolina Automotriz;UTM/m3;6;0;;6,0000
03-03-2011;Petróleo Diesel;UTM/m3;1,5;0;;1,5000
03-03-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
03-03-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
10-03-2011;Gasolina Automotriz;UTM/m3;6;0;;6,0000
10-03-2011;Petróleo Diesel;UTM/m3;1,5;0;;1,5000
10-03-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
10-03-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
17-03-2011;Gasolina Automotriz;UTM/m3;6;-;-0,6406;5,3594
17-03-2011;Petróleo Diesel;UTM/m3;1,5;;-0,6261;0,8739
17-03-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
17-03-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
24-03-2011;Gasolina Automotriz;UTM/m3;6;-;-0,6876;5,3124
24-03-2011;Petróleo Diesel;UTM/m3;1,5;;-0,6832;0,8168
24-03-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
24-03-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
31-03-2011;Gasolina Automotriz;UTM/m3;6;-;-0,4879;5,5121
31-03-2011;Petróleo Diesel;UTM/m3;1,5;;-0,5418;0,9582
31-03-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
31-03-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
07-04-2011;Gasolina Automotriz;UTM/m3;6;-;-0,6415;5,3585
07-04-2011;Petróleo Diesel;UTM/m3;1,5;;-0,4289;1,0711
07-04-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
14-04-2011;Gasolina Automotriz;UTM/m3;6;-;-1,0534;4,9466
14-04-2011;Petróleo Diesel;UTM/m3;1,5;;-0,5382;0,9618
14-04-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
14-04-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
21-04-2011;Gasolina Automotriz;UTM/m3;6;-;-1,3279;4,6721
21-04-2011;Petróleo Diesel;UTM/m3;1,5;;-0,7766;0,7234
21-04-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
21-04-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
28-04-2011;Gasolina Automotriz;UTM/m3;6;-;-1,2225;4,7775
28-04-2011;Petróleo Diesel;UTM/m3;1,5;;-0,4411;1,0589
28-04-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
28-04-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
05-05-2011;Gasolina Automotriz;UTM/m3;6;-;-1,2699;4,7301
05-05-2011;Petróleo Diesel;UTM/m3;1,5;;-0,2844;1,2156
05-05-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
05-05-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
12-05-2011;Gasolina Automotriz;UTM/m3;6;-;-1,4342;4,5658
12-05-2011;Petróleo Diesel;UTM/m3;1,5;;-0,1948;1,3052
12-05-2011;Gas Licuado de Petróleo de Consumo Vehicular;UTM/m3;1,4;0;;1,4000
12-05-2011;Gas Natural Comprimido de Consumo Vehicular;UTM/1000m3;1,93;0;;1,9300
19-05-2011;Gasolina Automotriz;UTM/m3;6;-;-1,3173;4,6827
